Gender,Age Group,Field of Occupation,Social Media Platforms,Time Spent on Social Media,Devices Used,Preferred Medium,Logged in Frequency,Social Media Use in Office,Routine at Work,Importance to Daily Worklife,Addicted to Social Media,Distraction at Work,Activities on Social Media,Impact on Goals,Impact on general Output
Male,25 - 44,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,Yes,Yes,Yes,,Check Newsfeed ,Yes,Partly
Female,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,No,No,No,Yes,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc)",Instagram,Frequently,Yes,Yes,Yes,No,No,"Check Newsfeed,Chat,Others",Yes,Greatly
Female,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc)","twitter,Instagram",Frequently,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,No,No,Yes,No,No,Others,Yes,Partly
Female,25 - 44,Employed,3,Less than 1 hour,"Smart phones (Android,iOS,etc)",Instagram,Occasionally,Yes,Yes,Yes,Yes,Yes,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,3,Less than 1 hour,"Smart phones (Android,iOS,etc)",Instagram,Frequently,No,No,Yes,Yes,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,3,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Prefer not to say,No,Check news feed ,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,No,No,No,No,No,Chat,Yes,Partly
Female,15 - 24,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)","Instagram,Twitter,Facebook",Occasionally,Yes,Yes,Yes,Yes,Yes,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",Instagram,Occasionally,No,No,Yes,No,No,Chat,No,Others
Female,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)",Instagram,Frequently,Yes,Yes,Yes,Yes,No,Others,Yes,Greatly
Female,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)",Facebook,Frequently,Yes,Yes,Yes,Prefer not to say,Yes,Check Newsfeed ,Yes,Partly
Female,25 - 44,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Instagram,Occasionally,No,No,Yes,No,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,1,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Frequently,No,Yes,Yes,No,Yes,Check Newsfeed ,Yes,Partly
Female,25 - 44,Employed,1,2 Hours and above,"Smart phones (Android,iOS,etc)",Instagram,Frequently,No,Yes,Yes,Yes,Yes,Check Newsfeed ,Yes,Partly
Male,45 - 64,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,Yes,No,Chat,Yes,Greatly
